gameid,cid,cdate
512,1341,2020-04-23 22:45:00
509,8630,2020-04-22 22:00:00
511,1343,2020-04-21 22:35:00
507,-1,2020-04-21 19:00
506,-1,2020-04-19 21:40:00
504,7197,2020-04-19 17:00:00
505,-1,2020-04-19 14:00
503,-1,2020-04-18 19:00
501,-1,2020-04-18 12:00
510,1337,2020-04-15 22:35:00
499,8546,2020-04-15 22:00:00
502,-1,2020-04-14 19:00
498,1335,2020-04-13 22:35:00
496,1338,2020-04-12 22:05:00
497,1339,2020-04-12 22:05:00
495,-1,2020-04-12 21:40:00
494,7196,2020-04-12 17:00:00
493,1334,2020-04-10 22:35:00
492,-1,2020-04-10 19:00
491,1333,2020-04-08 22:35:00
490,8289,2020-04-08 22:00:00
489,7195,2020-04-06 17:00:00
488,-1,2020-04-04 21:40:00
487,1330,2020-04-03 22:35:00
485,8288,2020-04-01 22:00:00
486,-1,2020-04-01 19:00
484,1332,2020-03-31 21:35:00
483,-1,2020-03-28 21:40:00
481,7194,2020-03-28 17:00:00
482,-1,2020-03-28 08:00
480,-1,2020-03-27 19:00
479,1328,2020-03-26 22:35:00
478,7788,2020-03-25 22:00:00
477,1327,2020-03-23 22:35:00
476,-1,2020-03-22 21:40:00
475,-1,2020-03-22 13:00
473,-1,2020-03-21 22:30:00
474,-1,2020-03-21 19:00
472,7191,2020-03-21 17:00:00
471,-1,2020-03-20 19:00
470,1326,2020-03-19 22:35:00
469,7780,2020-03-18 22:00:00
468,1325,2020-03-14 22:35:00
467,8145,2020-03-14 22:20:00
466,8143,2020-03-14 22:15:00
465,-1,2020-03-14 21:40:00
464,7190,2020-03-14 17:00:00
463,1324,2020-03-12 21:05:00
462,7779,2020-03-11 22:00:00
439,1312,2020-03-09 22:35:00
435,-1,2020-03-08 22:00:00
409,-1,2020-03-08 18:00
434,-1,2020-03-07 21:40:00
407,1323,2020-03-07 17:35:00
411,7968,2020-03-05 22:20:00
404,1316,2020-03-04 22:35:00
410,7332,2020-03-04 22:00:00
401,1305,2020-03-03 22:35:00
433,-1,2020-03-01 21:40:00
400,1321,2020-03-01 21:15:00
390,7331,2020-02-29 17:00:00
537,6012,2020-02-29 16:30:00
391,7800,2020-02-29 02:25:00
397,-1,2020-02-28 19:00
388,7330,2020-02-26 17:00:00
386,1311,2020-02-24 22:35:00
385,1315,2020-02-24 00:05:00
384,1313,2020-02-23 17:05:00
432,-1,2020-02-22 21:40:00
387,-1,2020-02-22 19:00
389,7321,2020-02-22 17:00:00
374,1307,2020-02-17 23:35:00
431,-1,2020-02-16 21:40:00
372,1304,2020-02-15 21:05:00
370,-1,2020-02-15 13:00
366,1301,2020-02-13 22:35:00
362,-1,2020-02-13 13:00
365,1303,2020-02-12 22:35:00
363,-1,2020-02-11 13:00
364,1300,2020-02-09 22:05:00
430,-1,2020-02-09 21:40:00
310,-1,2020-02-08 13:00
304,-1,2020-02-06 13:00
297,1296,2020-02-04 22:35:00
305,-1,2020-02-04 13:00
296,1291,2020-02-02 22:05:00
351,-1,2020-02-01 13:00
294,1295,2020-01-29 22:35:00
429,-1,2020-01-26 21:40:00
64,1294,2020-01-22 22:35:00
331,-1,2020-01-20 13:00
83,1293,2020-01-19 21:35:00
428,-1,2020-01-19 21:30:00
306,-1,2020-01-19 13:00
427,-1,2020-01-18 22:00:00
342,-1,2020-01-18 19:00
63,1288,2020-01-14 22:35:00
333,-1,2020-01-12 13:00
311,-1,2020-01-11 12:00
65,1285,2020-01-10 22:05:00
437,-1,2020-01-10 21:40:00
380,1287,2020-01-05 22:05:00
377,1284,2020-01-04 20:05:00
307,-1,2019-12-31 21:00
102,1270,2019-12-29 22:05:00
343,-1,2019-12-29 12:00
82,1283,2019-12-29 01:05:00
350,-1,2019-12-28 18:00
344,-1,2019-12-28 12:30
101,1279,2019-12-27 22:40:00
100,1282,2019-12-24 22:35:00
426,-1,2019-12-22 21:40:00
81,1269,2019-12-21 19:05:00
314,-1,2019-12-20 19:00
99,1278,2019-12-19 22:35:00
170,1266,2019-12-17 23:05:00
98,1271,2019-12-15 17:15:00
62,1281,2019-12-15 13:05:00
97,1277,2019-12-14 19:05:00
315,-1,2019-12-13 19:00
61,1272,2019-12-12 21:35:00
308,-1,2019-12-07 19:00
395,5529,2019-12-07 17:00:00
309,-1,2019-12-07 12:00
96,1265,2019-12-05 22:35:00
318,-1,2019-12-01 14:00
95,1263,2019-11-29 22:35:00
80,1260,2019-11-27 21:50:00
436,-1,2019-11-24 21:40:00
114,1262,2019-11-24 16:05:00
122,1255,2019-11-19 22:35:00
113,1253,2019-11-16 22:35:00
169,1257,2019-11-13 22:35:00
168,1243,2019-11-06 23:05:00
121,1256,2019-11-04 21:15:00
167,1245,2019-11-01 22:35:00
217,1247,2019-10-26 19:05:00
166,1251,2019-10-24 23:05:00
376,1249,2019-10-22 22:35:00
141,1248,2019-10-20 17:05:00
353,-1,2019-10-19 08:00
132,1236,2019-10-17 21:35:00
146,1237,2019-10-16 22:35:00
270,1244,2019-10-13 17:05:00
165,1238,2019-10-08 22:35:00
349,-1,2019-10-05 12:00
359,-1,2019-10-04 12:00
164,1234,2019-10-01 22:35:00
356,-1,2019-10-01 12:00
163,1228,2019-09-29 21:05:00
392,4618,2019-09-25 03:05:00
106,1230,2019-09-23 22:05:00
393,4285,2019-09-21 17:00:00
269,1216,2019-09-21 15:05:00
378,1221,2019-09-19 22:35:00
131,1215,2019-09-15 18:35:00
130,1209,2019-09-14 21:05:00
334,-1,2019-09-13 19:00
357,-1,2019-09-06 19:00
227,1217,2019-09-05 22:35:00
128,1214,2019-09-04 17:05:00
105,1213,2019-08-30 22:35:00
104,1208,2019-08-25 22:35:00
112,1207,2019-08-22 22:35:00
94,1204,2019-08-20 22:35:00
116,1206,2019-08-18 21:45:00
354,-1,2019-08-18 08:00
319,-1,2019-08-17 12:00
320,-1,2019-08-15 12:00
93,1203,2019-08-13 22:35:00
79,1200,2019-08-11 20:35:00
321,-1,2019-08-10 12:00
322,-1,2019-08-08 12:00
78,1202,2019-08-07 22:35:00
323,-1,2019-08-03 12:00
324,-1,2019-08-01 12:00
92,1199,2019-07-30 22:35:00
325,-1,2019-07-27 12:00
326,-1,2019-07-25 12:00
111,1196,2019-07-24 22:35:00
110,1197,2019-07-22 22:35:00
379,1178,2019-07-20 23:35:00
327,-1,2019-07-20 12:00
328,-1,2019-07-18 12:00
115,1195,2019-07-17 22:35:00
162,1194,2019-07-14 22:45:00
127,1191,2019-07-12 22:35:00
123,1189,2019-07-05 23:05:00
126,1187,2019-06-30 22:45:00
125,1183,2019-06-26 22:35:00
124,1181,2019-06-16 17:35:00
107,1182,2019-06-11 21:05:00
109,1176,2019-06-09 22:35:00
91,1173,2019-06-07 20:05:00
77,1175,2019-06-05 22:35:00
90,1174,2019-06-03 22:05:00
358,-1,2019-06-02 12:00
89,1148,2019-06-01 22:35:00
108,1169,2019-05-26 23:35:00
352,-1,2019-05-26 14:00
394,2382,2019-05-25 17:00:00
329,-1,2019-05-25 12:00
145,1166,2019-05-17 23:05:00
120,1167,2019-05-15 22:35:00
76,1165,2019-05-14 22:35:00
119,1159,2019-05-12 22:35:00
118,1163,2019-05-09 23:05:00
140,1150,2019-04-29 22:35:00
75,1157,2019-04-26 22:35:00
74,1152,2019-04-24 22:35:00
139,1155,2019-04-22 22:35:00
161,1151,2019-04-18 23:35:00
160,1154,2019-04-16 22:35:00
