accuracy,predictions
0.6923076923076923,"[5 2 4 6 3 6 6 2 6 6 5 4 4 3 4 6 5 6 5 6 2 3 6 4 6 5 6 6 6 6 6 6 6 6 6 3 2
 3 5 6 6 6 6 6 6 5 5 5 6 5 6 6 6 6 6 6 6 6 6 5 9 3 5 6 6 5 3 5 6 5 6 5 5 5
 6 6 6 6 5]"
0.6043956043956044,"[5 2 5 9 6 6 6 4 5 4 5 6 6 5 5 4 5 5 5 4 4 5 5 5 6 5 6 6 6 4 5 5 6 5 5 4 5
 3 5 5 6 4 6 6 6 4 5 6 6 6 6 6 6 6 6 6 6 6 6 5 5 6 5 6 6 5 5 6 5 5 5 6 5 5
 6 6 6 6 5]"
0.6263736263736264,"[5 1 4 6 3 1 6 2 1 6 5 5 5 3 1 4 5 1 5 3 2 3 6 5 6 5 6 6 6 6 1 6 6 1 6 2 5
 2 5 6 6 4 6 6 6 4 6 6 6 5 6 6 6 6 6 6 6 6 6 5 6 3 5 6 6 5 7 5 5 5 6 5 5 6
 6 6 6 6 1]"
0.6043956043956044,"[6 2 6 3 3 6 6 4 6 3 6 4 6 3 5 6 6 5 6 3 2 3 6 5 6 5 6 4 4 4 5 3 6 6 3 3 5
 7 6 6 6 4 6 6 6 4 6 6 6 6 5 6 6 6 6 6 6 6 6 5 6 3 5 6 6 6 3 6 6 6 5 6 5 5
 6 6 6 6 5]"
0.6373626373626373,"[5 2 2 9 3 1 1 2 1 6 5 2 6 3 2 5 1 1 5 3 7 3 5 2 6 5 6 7 6 6 1 3 5 1 4 3 5
 7 5 6 6 4 6 6 6 4 5 6 6 6 6 6 6 6 6 6 6 6 6 5 9 3 5 6 6 5 3 5 1 5 5 6 5 5
 6 6 6 6 5]"
