准确率,预测结果
0.43478259444236755,"[5, 2, 4, 5, 6, 4, 4, 2, 5, 4, 5, 4, 4, 5, 5, 4, 6, 6, 5, 5, 4, 5, 6, 5, 6, 5, 5, 6, 6, 4, 6, 5, 6, 5, 5, 2, 5, 2, 5, 6, 5, 5, 5, 5, 6, 5, 5, 6, 4, 6, 5, 6, 6, 6, 6, 6, 4, 6, 6, 5, 5, 5, 5, 6, 6, 6, 5, 3, 6, 3, 5, 6, 5, 5, 6, 6, 6, 6, 5]"
0.4202898442745209,"[5, 5, 5, 6, 6, 5, 6, 2, 2, 6, 5, 4, 5, 2, 5, 6, 5, 2, 5, 5, 4, 6, 6, 5, 6, 5, 6, 6, 4, 4, 2, 6, 5, 2, 5, 7, 5, 5, 5, 6, 6, 5, 6, 6, 6, 5, 5, 6, 4, 6, 5, 6, 6, 6, 6, 6, 4, 6, 6, 5, 6, 5, 5, 4, 6, 6, 5, 5, 4, 5, 5, 6, 5, 5, 6, 6, 6, 6, 5]"
0.36231884360313416,"[5, 2, 4, 5, 6, 4, 4, 2, 4, 6, 4, 4, 4, 2, 5, 4, 5, 4, 5, 5, 6, 5, 6, 4, 6, 5, 6, 6, 6, 6, 4, 5, 6, 4, 5, 2, 5, 5, 5, 6, 5, 4, 5, 5, 6, 5, 5, 6, 5, 5, 5, 6, 6, 5, 6, 5, 4, 6, 5, 5, 5, 5, 5, 4, 5, 5, 4, 6, 6, 5, 5, 6, 4, 5, 6, 6, 6, 6, 5]"
0.43478259444236755,"[4, 2, 5, 5, 6, 5, 5, 5, 5, 6, 5, 6, 5, 1, 6, 4, 4, 5, 5, 5, 4, 5, 6, 5, 6, 5, 6, 6, 4, 4, 4, 6, 6, 5, 6, 2, 5, 5, 5, 6, 6, 5, 5, 5, 6, 5, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6, 4, 6, 6, 5, 5, 5, 5, 6, 6, 6, 5, 6, 4, 5, 5, 6, 5, 5, 6, 6, 6, 6, 5]"
0.260869562625885,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 5, 5]"
