降维前准确率,降维后准确率,降维前预测值,降维后预测值
0.42028985507246375,0.42028985507246375,"[5 2 4 6 4 4 4 6 6 4 5 6 5 4 5 6 5 6 4 4 6 4 5 4 4 7 6 5 6 4 2 6 4 5 6 1 2
 1 6 6 6 3 6 6 6 6 5 6 6 5 4 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 7 6 6 6 6 6 5 5
 6 6 5 6 6]","[4 5 5 6 6 5 6 6 5 5 5 6 5 1 6 6 5 6 4 3 6 1 5 4 5 5 6 5 5 6 4 1 5 5 3 3 5
 3 6 6 6 4 6 6 5 6 5 6 6 5 3 6 6 5 6 5 3 5 5 5 6 6 6 6 6 5 3 5 6 6 5 6 5 5
 5 5 6 6 5]"
0.463768115942029,0.36231884057971014,"[5 4 5 6 4 5 4 4 5 6 5 6 5 6 5 5 5 2 5 6 5 6 5 4 5 7 5 5 5 4 5 6 5 5 6 3 5
 3 6 6 6 5 6 6 5 6 4 6 6 5 4 6 6 6 5 6 6 6 6 4 5 4 4 6 5 6 7 5 6 6 5 6 1 5
 6 5 5 6 6]","[2 2 6 5 4 4 4 6 6 6 6 6 6 7 6 6 4 6 6 4 4 7 6 4 5 7 6 5 6 6 4 7 4 5 6 2 2
 7 6 6 6 5 6 6 5 6 4 6 6 5 4 5 6 6 5 5 5 6 6 5 6 4 6 5 5 4 5 5 6 6 4 6 5 5
 6 6 5 6 5]"
0.463768115942029,0.463768115942029,"[4 4 4 6 5 5 5 6 6 5 6 6 5 4 6 4 5 6 4 7 4 6 5 4 5 5 6 4 5 6 4 6 5 5 6 1 5
 2 6 6 6 5 6 6 5 6 5 6 6 5 4 6 6 6 6 5 5 6 6 5 6 4 6 6 6 5 7 5 6 6 5 6 4 5
 6 5 5 6 5]","[5 2 5 4 6 5 5 5 5 6 5 5 5 5 5 6 5 5 5 5 5 6 5 5 5 5 5 5 5 4 5 6 5 5 5 2 5
 4 6 6 6 6 6 6 5 6 5 6 6 5 4 5 6 6 5 5 6 6 6 5 6 4 4 6 6 6 3 5 6 6 5 5 5 5
 5 6 5 6 5]"
0.42028985507246375,0.4492753623188406,"[5 2 4 4 4 4 4 4 6 6 6 6 5 5 6 6 5 5 4 4 4 4 6 4 5 2 4 5 4 6 5 6 5 5 6 4 2
 2 6 6 6 4 6 5 5 6 5 6 6 5 4 6 6 6 6 4 6 6 6 4 6 4 6 6 5 4 3 5 6 6 5 6 5 5
 5 5 6 6 5]","[5 5 5 6 6 5 5 5 6 6 5 5 5 5 6 5 5 5 6 5 4 6 5 5 5 7 5 6 5 6 5 6 5 5 6 4 2
 6 6 6 6 5 6 6 5 5 5 6 6 6 4 6 6 6 6 6 5 6 6 5 6 6 6 6 6 6 5 5 6 6 2 6 5 5
 6 6 6 6 5]"
0.4927536231884058,0.43478260869565216,"[5 5 5 6 5 5 5 5 5 5 5 4 5 5 5 5 5 5 4 5 4 6 5 4 5 5 5 5 5 4 5 5 5 5 6 4 5
 2 6 5 6 5 6 6 5 6 5 6 6 5 4 5 6 5 6 5 6 6 6 5 6 4 4 5 5 6 2 5 6 5 5 6 5 5
 6 6 5 6 5]","[5 2 4 4 4 4 4 4 6 6 6 4 5 4 5 4 5 5 6 4 4 6 5 4 5 5 5 5 5 6 4 4 4 6 6 4 5
 5 6 6 6 6 6 5 6 5 5 6 6 6 4 5 6 6 5 5 3 6 6 5 5 4 6 6 5 5 5 5 6 6 5 6 5 5
 6 5 5 6 5]"
