降维前准确率,降维后准确率,降维前预测值,降维后预测值
0.4492753623188406,0.42028985507246375,"[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 5
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 5
 6 6 6 6 5]","[6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 5 5
 5 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 5 6 6 6 6 6 5 5
 6 6 6 6 5]"
0.34782608695652173,0.2753623188405797,"[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 5
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 5
 6 6 6 6 5]","[5 5 5 5 5 5 5 5 5 5 5 5 5 5 7 5 5 5 5 5 5 5 5 5 5 5 5 5 7 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5]"
0.3333333333333333,0.2898550724637681,"[6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 5 5 6 6 6 5 6 5 6 6 6 5 6 6 5 5 5
 6 6 6 6 6 5 6 6 6 5 6 6 6 5 5 6 6 6 5 5 6 6 5 6 6 6 6 6 5 6 6 6 6 5 6 5 5
 6 6 6 6 5]","[6 2 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 5 6 6 5 6 6 6 6 6 6 2 5
 2 4 6 6 2 6 6 6 4 4 6 6 6 4 6 6 6 6 6 6 6 6 5 6 6 4 6 6 6 5 6 6 4 6 6 5 5
 6 6 6 6 5]"
0.391304347826087,0.30434782608695654,"[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 5
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 5 5
 6 6 6 6 5]","[6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 5 5 5 6 6 6 5 6 5 6 6 6 5 6 6 5 5 5
 6 6 6 6 6 5 6 6 6 5 6 6 6 5 5 6 6 6 5 5 6 6 5 6 6 6 6 6 5 6 6 6 6 5 6 5 5
 6 6 6 6 5]"
0.4492753623188406,0.36231884057971014,"[6 6 6 5 5 6 6 6 6 5 6 6 6 5 5 6 6 6 6 5 5 5 6 6 6 5 6 5 5 6 6 5 6 6 5 5 5
 5 5 6 6 6 5 5 6 5 5 6 6 6 5 5 6 6 6 5 5 6 6 5 6 5 5 6 6 5 7 6 6 5 5 6 5 5
 6 6 6 6 5]","[1 1 1 6 6 1 1 1 1 6 1 1 1 1 1 1 1 1 6 1 1 1 1 1 6 5 6 1 1 1 1 1 4 1 6 1 1
 1 6 6 6 6 6 6 6 6 6 6 6 6 4 6 6 6 6 6 6 6 6 1 6 6 6 6 6 6 6 6 6 6 6 6 5 5
 6 6 6 6 5]"
