accuracy,predictions
0.7142857142857143,"[5 5 4 9 5 4 4 5 6 5 5 5 4 5 5 4 5 5 5 4 5 5 5 5 5 5 6 5 5 5 5 5 5 5 6 5 5
 5 5 6 9 6 6 6 5 5 5 6 5 5 5 6 6 5 6 5 5 5 5 5 6 5 5 6 6 5 5 5 9 5 5 6 5 5
 5 5 6 6 5]"
0.6263736263736264,"[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 7 5 5 5 5 5 5 5
 5 5 5 5 5]"
0.6813186813186813,"[5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5]"
0.6373626373626373,"[5 5 5 5 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 5 5 9 5 5 9 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 7 5 5 5 5 5 5 5
 5 5 5 5 5]"
0.6923076923076923,"[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 9 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5]"
