accuracy,predictions
0.6703296703296703,"[6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 7 6 6 5 6 6 6 6 6 6 6 5
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 5 6 6 6 6 6 5 5
 6 6 6 6 5]"
0.6043956043956044,"[6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 6 6 6 6 6 6 6 6 6 6 7 6 6 7 6 6 6 6 6 6 6 6
 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 6 6 6 6 6 6 6
 6 6 6 6 5]"
0.6923076923076923,"[5 5 6 6 5 6 6 6 5 5 5 6 6 5 5 6 5 5 5 6 5 5 6 5 5 5 6 5 5 6 5 6 5 5 5 5 5
 5 5 6 6 5 6 6 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 6 5 5 6 6 5 5 5 6 5 5 5 5 5
 5 5 6 5 5]"
0.6263736263736264,"[5 5 9 9 5 9 9 5 5 6 5 5 9 5 5 9 5 5 5 9 5 5 6 5 5 6 5 6 6 5 5 5 5 5 5 5 5
 5 5 5 9 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 9 5 5 5 5 5
 5 5 5 5 5]"
0.6813186813186813,"[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5 5 6 5 5 5 6 5 5 5 5 5 6 5 5 5 5 6 5 6 5 5 5 5 5 5 5 6 5 5 5 5 5
 5 6 5 5 5]"
