降维前准确率,降维后准确率,降维前预测值,降维后预测值
0.2028985507246377,0.36231884057971014,"[4 6 6 4 4 5 5 5 6 4 6 6 5 4 6 5 4 4 4 5 4 5 5 2 5 5 4 4 6 6 4 5 4 2 4 4 4
 4 6 6 4 5 6 6 5 5 5 6 6 5 2 6 6 5 6 5 6 5 5 5 6 4 6 6 6 6 5 6 6 6 5 6 1 5
 5 5 6 6 5]","[4 6 5 5 4 6 6 5 6 4 6 6 6 5 6 5 5 5 4 6 2 6 6 2 5 2 5 2 6 5 2 6 4 6 4 2 5
 2 6 6 5 6 6 6 5 4 6 6 6 5 2 5 6 6 6 5 5 5 6 1 6 4 4 6 6 6 4 6 6 5 5 6 1 5
 6 5 6 5 5]"
0.36231884057971014,0.30434782608695654,"[4 6 5 5 4 6 6 5 6 4 6 6 6 4 6 5 4 4 4 6 5 6 6 2 5 5 5 4 6 5 4 6 6 4 4 4 5
 5 6 6 5 5 6 6 5 6 6 6 5 5 2 6 6 6 6 5 5 6 5 5 6 4 6 6 6 6 5 6 5 6 6 6 5 5
 5 5 6 6 5]","[4 6 5 4 4 6 6 5 6 6 5 5 6 4 5 5 4 5 4 5 5 6 5 4 5 2 4 2 5 5 4 6 4 4 4 5 5
 1 6 6 4 6 6 6 5 5 5 6 6 5 2 6 6 6 6 5 6 5 6 2 6 6 5 6 6 6 5 6 6 6 5 6 5 5
 6 5 6 5 5]"
0.3333333333333333,0.391304347826087,"[4 6 5 4 2 5 5 5 6 6 6 2 5 1 2 5 4 4 2 5 5 5 5 2 5 4 4 4 6 5 4 5 2 2 4 2 5
 2 6 6 4 6 6 6 5 4 2 6 6 5 2 5 6 6 6 5 6 6 6 1 6 2 4 6 6 6 4 6 6 6 4 6 1 1
 6 5 6 5 5]","[4 6 6 4 4 6 6 4 6 4 6 6 6 4 6 6 4 4 4 6 2 6 6 2 5 5 4 2 6 6 4 6 4 6 4 2 2
 2 6 6 4 5 6 6 5 6 2 6 6 5 2 6 6 6 6 5 6 5 6 5 6 4 6 6 6 6 5 6 6 6 5 6 5 5
 6 5 6 6 5]"
0.2753623188405797,0.2608695652173913,"[4 6 6 4 4 6 6 4 6 4 6 6 6 5 6 6 4 4 4 6 2 6 6 4 5 1 4 2 6 6 4 6 4 6 4 4 2
 4 6 6 4 6 6 6 5 5 5 6 6 5 2 6 6 6 6 5 5 5 5 2 6 4 6 6 6 6 5 6 5 6 6 6 5 5
 5 5 6 6 5]","[5 6 5 4 4 5 5 4 6 4 6 6 5 5 2 5 5 6 4 5 4 5 5 2 5 1 4 4 6 5 5 5 4 2 4 4 5
 4 6 6 4 6 6 6 5 5 6 6 5 5 2 6 6 6 6 5 6 6 5 5 6 4 5 6 6 6 4 6 6 6 5 6 5 5
 5 5 6 6 5]"
0.2463768115942029,0.4057971014492754,"[4 6 6 4 4 5 5 4 5 4 5 6 5 4 6 6 4 5 4 5 2 6 5 4 5 4 4 2 6 6 4 6 6 6 4 4 2
 4 6 6 4 5 6 6 6 5 6 6 4 6 2 6 6 5 6 5 6 6 5 5 6 4 6 6 6 6 5 4 6 6 4 6 5 5
 5 6 6 6 5]","[4 6 5 4 4 6 6 4 6 4 6 6 6 4 6 5 4 5 4 6 2 6 6 2 5 5 4 4 6 5 2 6 4 2 4 4 5
 4 6 6 4 5 6 6 5 5 5 6 6 5 2 6 6 6 6 5 6 6 6 1 6 4 6 6 6 6 4 6 6 6 6 6 1 5
 6 5 6 6 5]"
