accuracy,predictions
0.6813186813186813,"[2 2 5 9 6 9 4 5 6 6 6 6 6 6 5 9 5 5 4 9 2 6 5 4 5 5 4 5 5 6 5 6 5 6 5 7 2
 7 6 6 4 6 6 6 6 6 3 6 6 6 4 6 6 6 6 6 6 6 6 4 6 6 6 5 6 6 5 6 6 3 6 6 4 5
 5 5 5 6 5]"
0.6483516483516484,"[5 2 9 9 4 9 9 4 6 6 5 4 9 5 5 9 5 4 6 9 4 6 5 4 6 7 6 5 6 4 5 5 5 5 6 4 2
 2 6 6 9 5 6 6 5 6 5 6 6 6 4 6 6 6 6 6 6 6 6 4 6 4 6 6 6 6 5 6 9 6 6 6 5 5
 6 5 6 6 5]"
0.7142857142857143,"[5 5 2 4 4 5 5 5 5 6 5 6 5 4 5 2 5 5 4 4 6 6 5 2 6 5 5 5 5 6 6 6 5 5 6 4 2
 5 6 6 6 5 6 5 6 6 3 6 6 5 4 4 6 5 6 6 6 6 6 4 6 4 6 6 5 5 5 6 6 5 5 5 4 5
 5 6 5 6 5]"
0.7142857142857143,"[5 2 5 4 4 4 4 5 6 6 5 5 5 4 5 5 6 6 4 4 5 4 5 2 6 5 5 5 5 4 4 5 5 6 5 5 5
 4 6 6 5 6 6 5 6 6 5 5 6 6 4 5 6 6 6 6 5 5 6 4 6 4 6 5 5 5 7 6 9 6 5 6 5 5
 6 6 6 6 5]"
0.6923076923076923,"[5 5 2 4 4 4 4 5 5 6 5 5 5 4 5 2 5 6 4 4 6 6 5 4 5 5 5 5 5 4 4 6 5 5 6 4 2
 4 6 6 6 6 6 6 6 6 5 6 6 6 4 6 6 6 6 6 6 6 6 2 6 4 6 6 5 6 7 6 4 5 6 6 5 5
 6 6 5 6 7]"
