降维前准确率,降维后准确率,降维前预测值,降维后预测值
0.4927536231884058,0.43478260869565216,"[6 1 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 5 5 6 5 6 1 6 5 5 6 6 6 6 5 6 5 5 5 5
 1 6 6 5 4 6 6 6 6 6 6 6 6 4 6 6 6 6 6 4 5 6 5 5 6 6 5 6 6 5 6 6 6 6 6 7 5
 5 5 5 6 5]","[5 4 2 6 5 4 4 2 6 2 5 4 6 2 6 2 6 6 6 4 2 4 4 4 6 4 6 4 6 2 2 2 6 6 6 5 5
 5 6 6 6 3 6 6 6 6 4 6 6 5 5 5 6 6 5 5 6 5 6 4 6 5 6 6 5 6 5 6 6 6 5 5 2 5
 5 6 5 6 5]"
0.391304347826087,0.4492753623188406,"[2 2 6 6 2 6 5 5 6 5 6 4 6 4 6 6 2 2 4 6 2 6 5 4 5 2 6 5 5 5 4 6 2 2 6 2 2
 2 6 6 6 4 6 6 5 5 4 6 6 5 2 5 6 6 5 5 5 5 6 4 6 6 6 6 6 7 5 5 6 6 5 6 4 5
 6 7 6 6 1]","[3 4 4 6 6 4 4 4 4 6 4 6 6 5 6 4 4 4 4 4 4 4 4 4 5 4 4 6 6 6 5 4 4 4 6 4 2
 2 4 5 6 5 7 7 5 5 6 6 5 5 4 6 6 6 6 5 6 6 5 2 5 6 3 6 5 5 5 5 6 4 6 6 5 5
 6 5 5 6 5]"
0.391304347826087,0.37681159420289856,"[5 2 6 5 4 6 6 6 6 4 6 6 6 6 5 6 6 6 4 6 6 6 6 7 5 4 4 6 5 6 6 6 4 6 6 2 5
 2 6 6 6 5 6 6 5 6 4 6 6 6 4 5 6 6 6 5 6 6 6 4 6 5 6 4 6 5 5 2 6 6 4 6 2 5
 6 6 5 6 5]","[5 5 5 6 4 5 5 6 5 4 5 5 5 6 6 6 5 6 4 6 4 6 5 4 4 5 5 4 4 4 5 6 5 5 5 4 5
 2 6 4 5 3 6 6 4 5 6 4 6 5 6 4 5 5 5 6 6 6 5 5 6 5 6 6 5 6 4 4 6 6 6 4 5 5
 5 5 5 6 5]"
0.2898550724637681,0.43478260869565216,"[4 1 5 6 6 5 6 6 5 6 5 6 6 5 6 5 4 4 5 5 6 5 6 7 6 4 6 6 6 6 5 6 4 5 5 3 2
 3 6 6 4 5 5 5 6 6 4 6 6 5 4 5 6 6 6 5 2 5 6 5 6 6 6 6 6 5 5 6 2 6 5 5 7 5
 6 5 6 6 5]","[4 2 5 5 5 2 2 5 2 5 2 4 4 5 4 6 1 1 5 5 6 5 5 4 4 2 4 6 6 5 2 5 2 4 5 2 5
 1 6 6 4 7 6 6 5 5 5 6 6 5 4 4 6 6 6 5 6 6 6 2 6 4 4 6 6 6 5 5 6 6 4 6 5 5
 6 6 6 6 1]"
0.36231884057971014,0.3188405797101449,"[4 4 6 6 4 6 6 6 6 5 6 6 6 6 6 6 4 4 4 6 5 6 5 5 4 4 6 5 2 6 4 6 4 4 4 4 4
 1 6 6 6 4 6 6 4 5 5 6 4 5 6 6 5 6 5 4 6 6 4 4 5 4 2 6 5 6 5 5 6 6 4 6 4 5
 6 5 5 6 5]","[5 5 4 5 6 5 6 6 4 6 4 6 5 5 5 5 5 6 6 5 4 6 5 7 6 4 5 5 6 4 5 5 6 4 5 1 2
 1 6 6 6 5 6 5 5 2 4 5 6 6 6 5 6 6 4 6 5 6 6 5 5 6 6 6 5 5 5 5 6 4 5 4 5 5
 5 4 6 6 5]"
