accuracy,predictions
0.7032967032967034,"[4 6 5 5 4 6 6 5 6 4 6 6 6 4 6 6 5 5 4 6 2 6 6 2 5 5 5 2 6 5 4 6 4 6 4 2 5
 2 6 6 5 5 6 6 5 5 2 5 6 5 2 6 6 5 6 5 5 6 5 5 6 2 4 6 6 6 4 6 6 6 6 5 5 5
 5 5 6 6 5]"
0.6373626373626373,"[4 6 5 4 4 6 6 4 6 4 6 6 6 4 6 6 4 4 4 6 2 6 6 2 5 2 4 4 6 5 4 6 4 6 4 4 5
 4 6 6 4 6 6 6 5 5 5 6 6 5 2 5 6 6 6 5 6 6 6 4 6 4 5 6 6 6 5 6 6 5 5 5 4 4
 6 5 6 6 5]"
0.6593406593406593,"[4 5 5 5 4 5 5 4 5 4 4 5 5 5 4 5 4 4 4 5 2 6 5 4 5 5 4 4 5 5 5 6 4 4 4 4 2
 4 6 6 5 6 6 6 5 5 2 6 6 6 2 6 6 6 6 5 6 5 5 4 6 4 6 6 6 6 5 6 6 6 5 6 5 5
 6 6 6 6 5]"
0.6153846153846154,"[4 6 6 4 4 6 6 4 6 4 6 6 6 4 6 6 6 6 4 6 2 6 6 2 5 5 4 2 6 6 4 6 6 6 4 4 2
 4 6 6 5 6 6 6 5 5 6 6 5 5 2 6 6 5 6 5 6 5 5 1 6 2 6 6 6 6 4 5 6 6 5 6 1 5
 5 5 6 6 5]"
0.6483516483516484,"[4 6 6 4 4 6 6 4 6 4 6 6 6 5 6 6 4 4 4 6 2 6 6 2 5 4 4 2 6 6 4 6 4 6 4 2 2
 2 6 6 4 6 6 6 5 5 5 5 5 5 2 6 5 6 5 5 6 6 5 5 6 4 4 6 6 6 4 6 6 6 5 5 5 5
 5 5 6 6 5]"
