accuracy,predictions
0.6923076923076923,"[4 4 6 3 3 6 6 6 6 3 6 6 6 5 6 6 4 4 5 3 5 4 6 4 5 4 6 6 5 6 2 6 4 4 3 4 5
 3 4 6 4 4 6 6 5 6 4 5 6 5 4 6 6 6 5 5 6 6 6 4 5 3 6 6 5 5 5 5 6 6 5 5 5 5
 6 5 5 5 5]"
0.5824175824175825,"[4 2 4 5 6 4 4 4 4 5 4 5 4 4 5 4 4 6 4 6 6 6 4 4 5 5 4 6 5 4 4 4 4 4 5 5 2
 4 6 5 5 2 6 4 5 5 4 5 6 4 3 4 6 5 5 6 4 6 6 5 6 4 6 6 6 4 7 5 4 6 4 5 5 5
 5 5 6 6 5]"
0.7912087912087912,"[6 4 9 9 4 9 9 6 6 4 6 6 9 4 6 9 6 6 5 9 6 4 6 4 4 7 4 6 6 6 6 4 4 6 6 4 2
 3 6 4 9 4 6 6 4 6 5 6 6 6 4 5 6 6 6 5 6 6 6 5 6 5 4 6 6 6 5 5 9 6 5 6 5 5
 6 6 4 6 5]"
0.6153846153846154,"[4 5 4 4 4 4 4 4 4 4 4 6 4 4 6 4 4 6 4 4 4 4 4 2 6 4 4 6 4 4 4 4 4 4 6 5 2
 2 5 6 6 4 6 6 5 5 4 6 6 5 4 5 6 6 6 4 5 3 6 4 6 6 6 6 6 6 4 5 6 5 4 6 7 5
 3 6 6 6 7]"
0.6703296703296703,"[4 5 5 6 6 5 6 6 5 6 5 5 5 4 5 6 4 4 5 6 6 6 5 2 5 1 5 5 5 6 4 6 4 4 5 5 2
 7 6 6 5 5 6 6 5 6 6 6 6 5 4 6 6 6 6 6 5 6 6 4 6 6 6 6 6 4 5 5 6 6 5 9 5 5
 6 7 5 6 5]"
